"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0504685311929443,0.406934254713114,0.20432550281256,0.0752416928786603,0.319026463430191,0.928209010869472,0.768193738929712,0.0721223584324827,0.0503440030306301,0.0310481391934964,0.0142181164769039,0.0423370396819363,0.00570823894290085,0.00198306303872509,0.0899482211388751,0.011715709526708,0.0127646897185475,0.0317454364655483,0.1568373322611,0.0275355614051337,0.327041612531594,0.0774873865261596,0.0517147131593256
"SBS96B",0.0706213078886255,0.209848882523214,0.357307624359197,0.146916456170781,0.419530386743359,0.58612894081104,0.971349181748065,0.0838535936807864,0.12006065581051,0.057805676306924,0.0109699056844321,0.0833128471480606,0.0269585484428583,0.00402420125569392,0.106880233061921,0.0239192297509875,0.0120723023554313,0.0541207890613993,0.43673994880298,0.0356457405279421,0.395602690618856,0.10740712717938,0.0971099681980153
"SBS96C",0.0208441326608145,0.985881353874435,0.083912511332207,0.0382402555677609,0.228799428527555,0.666903618183742,0.184148538481503,0.0595834446859135,0.0528191854418392,0.0360165305755878,0.0153234566207524,0.0497506854530859,0.00177675453575155,0.000954368950368933,0.0634648336729381,0.00694854682258605,0.0116853365608993,0.0407967144788042,0.0360733301506506,0.0220775912998253,0.311155235306368,0.0840062522193982,0.0152061321423819
"SBS96D",0.0222379103044789,0.0316169453296997,0.576127553526807,0.976174939643163,0.317603222277725,0.0703516151940343,0.130750941513207,0.0829773537573141,0.0643328920870145,0.0873025488601993,0.0786878377971719,0.135531218590326,0.0229724717128038,0.0088210840908447,0.664283806941032,0.123151503276608,0.0163804126810513,0.72440037138252,0.595053093012665,0.732942580634787,0.55604969016918,0.0890333244004822,0.320853042798797
"SBS96E",0.201246122994313,0.0333855502055217,0.615691489729375,0.243349133966868,0.862431863507086,0.0962566189365387,0.20347141962688,0.110963716243039,0.195920228741716,0.476481739192413,0.0539706499351148,0.496586828746581,0.107299480692478,0.0398432665059251,0.24999239189881,0.135986085908292,0.0431686935363683,0.231660587438276,0.214015990774024,0.0550815873000287,0.600713651824169,0.281087406552904,0.67103721753641
"SBS96F",0.079194324226296,0.0145201525365285,0.920226300466993,0.550081580339246,0.627774452593446,0.0954129696330444,0.251741047322448,0.15062980062594,0.134051147689758,0.278487207556283,0.277659359613598,0.297615796836006,0.0828188042008743,0.0388111666300301,0.348774773505494,0.161927990822422,0.0665238306422109,0.408365049625331,0.522760028319079,0.29417169258139,0.728974903225092,0.311176806716643,0.344168758754887
"SBS96G",0.0611802703490852,0.360635924006296,0.724793158305225,0.523308533213162,0.753136763903265,0.378985739604117,0.356182135910371,0.291444021995342,0.204381594770184,0.34108760298368,0.172771285855427,0.425476770901138,0.0823766150241073,0.0612818836812318,0.54897096157222,0.172927315707171,0.129047604885575,0.44247176544385,0.385775829895219,0.210576374885291,0.91094331597615,0.37488974326843,0.366601300353779
"SBS96H",0.17195250097001,0.021971906278772,0.480973437887345,0.350689183295017,0.60732546832659,0.0540219341086048,0.10196118499148,0.175589122068298,0.149043018159263,0.334664593916109,0.0386042064676123,0.211566022764276,0.0660502513806525,0.0177498189763425,0.259487332071292,0.0687157559282499,0.0513006250395409,0.272040968199965,0.339643150444139,0.236563155037437,0.468543955022528,0.321838090752806,0.993245467010725
"SBS96I",0.0178643884918658,0.00117137181461335,0.104292665744722,0.0125510077748683,0.0956049963744694,0.00220853725352133,0.00539125336746993,0.037804278155546,0.0133920958921558,0.0124026723367899,0.00269183529152695,0.027042671264783,0.0357580438691897,0.99933503478782,0.0330124455555052,0.0108119563127611,0.404199510770644,0.0117726681862609,0.0301972092789229,0.0215859559572982,0.179024046030486,0.156326190593558,0.0216201526139964
"SBS96J",0.98851526849416,0.0171964417055346,0.055353725889291,0.0231071880388888,0.176124158547737,0.0385885994522136,0.0570220721402186,0.0226104300208468,0.0146826720215001,0.0194139113239836,0.00747031646485152,0.0281510968879199,0.00723100063227988,0.00343727391287407,0.114112373240186,0.0124635653976373,0.0174211778681647,0.151850721882095,0.0203823979147184,0.0207678174752973,0.0402914462847438,0.0901445926722924,0.193544873967371
