"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.928209010869472
"SBS96B","SBS7b",0.971349181748065
"SBS96C","SBS2",0.985881353874435
"SBS96D","SBS4",0.976174939643163
"SBS96F","SBS3",0.920226300466993
"SBS96G","SBS40",0.91094331597615
"SBS96H","SBS44",0.993245467010725
"SBS96I","SBS17b",0.99933503478782
"SBS96J","SBS1",0.98851526849416
"SBS96L","SBS12",0.977452774207701
"SBS96M","SBS18",0.988697755489429
"SBS96N","SBS7c",0.99831186906891
"SBS96O","SBS17a",0.999754130481829
"SBS96Q","SBS7d",0.966838277957161
"SBS96R","SBS13",0.998610951926588
"SBS96S","SBS22",0.982019304437196
"SBS96T","SBS41",0.92857582199872
"SBS96U","SBS28",0.982156706145706
