"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0492842528662343,0.391525937426514,0.20429440829752,0.0750221315513906,0.316317084758151,0.921997541976635,0.768197025529811,0.0718772437117015,0.0487734452451644,0.0306508498935942,0.0140659024782268,0.0414732459887996,0.00581718603119563,0.00197548697684358,0.0892856481320976,0.0117386403212868,0.0126268481900816,0.0308946689513797,0.15790079393787,0.0272629911882302,0.323584929554963,0.0762610021073442,0.051726219111223
"SBS96B",0.0682879460257323,0.231267087749145,0.355839406844183,0.147280432501056,0.422607345734041,0.60911792663603,0.979370357527934,0.0836506624429884,0.125640417567832,0.0586399467976079,0.0112554703235063,0.0853226635458132,0.0263904379144638,0.00412502906706591,0.107532387665405,0.0235227951842714,0.0125149764025249,0.054284537433048,0.427623303696474,0.0368597578452909,0.401156272482044,0.108546040604288,0.0963309129669374
"SBS96C",0.0197422541212149,0.991980242140455,0.0874108595493168,0.0398660831343582,0.234323525789879,0.679322491470136,0.203635216971343,0.0600295083416322,0.057937779111188,0.0366074805473102,0.0153251564808987,0.051981849563449,0.00179393798317462,0.00103387116682829,0.0638533234852987,0.00693686823880235,0.011831467863015,0.0406873929950186,0.0383185480850866,0.0226006082132277,0.316875154647157,0.0856444382402302,0.0156703717012354
"SBS96D",0.0216115537158983,0.0319393220050889,0.577833679231904,0.978936122280351,0.321087106341319,0.0691653112264791,0.130049573554335,0.0841444649400791,0.0643730693987568,0.0873210085220261,0.0791323142136398,0.136000359283849,0.0237649317508474,0.0088277539263536,0.678467119652578,0.114767766543574,0.0162736883586141,0.753627383732505,0.60673305454399,0.732272470799058,0.560974740561544,0.0881160697624267,0.323390985462861
"SBS96E",0.0784030584087554,0.0121985345330282,0.923043063051375,0.547212201435923,0.639207209112784,0.0891413729279236,0.24638352222048,0.153828443288104,0.133927128477003,0.290079739003433,0.276880925930499,0.306655664077069,0.0851288554648467,0.0393059127013909,0.35201851768832,0.160943840321615,0.0749326367554687,0.410161354364504,0.520852326982524,0.290818409829636,0.734682134380998,0.319903633270117,0.357130549510191
"SBS96F",0.0626629599092146,0.367313950104996,0.72489755770439,0.52581708372615,0.75781360029581,0.380731136133866,0.357566887358583,0.290867894017912,0.209263474257562,0.343574711459048,0.179293246175529,0.431918613012497,0.0896735466316383,0.0680482314729586,0.556668485379681,0.171787825934714,0.155821107670462,0.456749472234819,0.38824721081756,0.208288423259724,0.918670638614724,0.386517223392453,0.366104541038332
"SBS96G",0.170117081545625,0.0228559962603112,0.48069814194466,0.349910533033251,0.607084028852669,0.0539970996949393,0.102149053843961,0.175772862350191,0.148598403019063,0.331355346892241,0.0392932592247267,0.209093831615067,0.0648907427889621,0.0176706741351886,0.259970750626289,0.0687730227810968,0.050628510634541,0.271428090391674,0.338310299786842,0.235214821736526,0.468933800071643,0.321324564487017,0.993276986927528
"SBS96H",0.0220919478559157,0.00125765216291751,0.104928817258191,0.0125915750534555,0.0969065628104829,0.0024109932597689,0.00570854962466782,0.0381763391668688,0.0134188589284314,0.0120899327093564,0.00273300067243365,0.0274399068381279,0.0347015645135237,0.999363648562413,0.0336212570471217,0.0107834598900893,0.410085044458793,0.0124143264119302,0.0303816277588627,0.0217565044289821,0.180534546806045,0.159224472131403,0.0227655625312783
"SBS96I",0.992471652784612,0.0181407213515977,0.0556163661202785,0.0234675416744635,0.180179680922043,0.0402419161292535,0.0592108927805165,0.0230789600648769,0.0149435496184815,0.0194868676185035,0.0078654659033992,0.0281633326456837,0.00737801201639399,0.00340726772165267,0.116174344726759,0.0125385645104445,0.0170871382473206,0.153428265774601,0.0208912490838568,0.0210090375746468,0.0409636467671292,0.0927574925751556,0.198186422209394
"SBS96J",0.0725490207121622,0.0290641937585153,0.473912859252822,0.167562936784115,0.761416307171593,0.0613230408574441,0.12743744394221,0.072243555136575,0.159551437102138,0.587294127601717,0.0613712518656953,0.950235098634135,0.099465103052881,0.020521692537365,0.130316859375733,0.148679309619318,0.0244491658984046,0.12503222369451,0.145727286940291,0.0407530054448779,0.472875598661059,0.241839492531652,0.364440191867012
