"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.917917313494516
"SBS96B","SBS7b",0.960955186799669
"SBS96C","SBS2",0.96304697835895
"SBS96D","SBS4",0.972807813929863
"SBS96F","SBS3",0.921797762958135
"SBS96G","SBS40",0.907223875929982
"SBS96H","SBS44",0.993175985242688
"SBS96I","SBS1",0.997356507237549
"SBS96K","SBS17b",0.999142140849156
"SBS96L","SBS12",0.973813884247265
"SBS96M","SBS18",0.988205412030831
"SBS96O","SBS7c",0.998572476452369
"SBS96P","SBS17a",0.999714590538069
"SBS96Q","SBS7d",0.967882801937601
"SBS96R","SBS13",0.999111710995008
"SBS96S","SBS22",0.979656547687607
"SBS96T","SBS41",0.933110315924827
"SBS96U","SBS28",0.983823626091516
