"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0444036858453615,0.384358168121003,0.202190615462925,0.0745241054749184,0.312084328246709,0.917917313494516,0.769800765911287,0.0702942213663365,0.0505420691149756,0.0299810184841892,0.0138067156651073,0.0413610370106804,0.00530864103869644,0.00195250669040248,0.0874688725975328,0.0112753866935764,0.0124326066247757,0.0290845558006462,0.154944043430766,0.027038830787692,0.320750343523597,0.0750565548424398,0.0502430489822074
"SBS96B",0.0701696979344618,0.176031658801746,0.360986616672552,0.14797423764957,0.415622126569822,0.56332109112784,0.960955186799669,0.0849462766757725,0.115898097520715,0.0589523062975242,0.0108210633564878,0.080871922166499,0.0280820500377004,0.004099173062733,0.107299323118929,0.0248156346212484,0.0121645051654559,0.0538646680976353,0.445063668559854,0.0352095885053242,0.390092129453015,0.105905264229707,0.0993320822765703
"SBS96C",0.0195100988952217,0.96304697835895,0.0763188995035429,0.034044348350882,0.213597384391519,0.64237528074887,0.141532764393902,0.0599031133413275,0.0387988316029212,0.0337178411002366,0.0151883061971583,0.0425114893424415,0.00189441427688564,0.000790780886441689,0.0617326190753953,0.00702225958159775,0.0113110245798587,0.0392158633214532,0.0313706533651368,0.0206273469728663,0.297075796580046,0.0793749890855143,0.0141262487504225
"SBS96D",0.0215731631356627,0.0275770170433531,0.566032054230791,0.972807813929863,0.308365025859749,0.0632543917430131,0.122597536773828,0.0834555298982033,0.0638439373725445,0.0855765735215192,0.0763007553721127,0.133052608483731,0.0236616496673037,0.00812638475932026,0.666996996967514,0.12702790119382,0.0155525830255102,0.711828742934398,0.598335563176663,0.780710031666113,0.544570283035481,0.0894202021376163,0.325104264324321
"SBS96E",0.207088241424251,0.0374744593905111,0.610810279184304,0.244434572867729,0.864797605986663,0.0913966056812087,0.18531584362939,0.11495736956422,0.20421381209628,0.487271652705886,0.0542754321544408,0.51591520229826,0.10616647968635,0.0377352081487333,0.253338995504486,0.132277560956978,0.0400577894781704,0.24424039874787,0.205501684162405,0.0537531169981013,0.599326656720444,0.284769226708147,0.666788815586765
"SBS96F",0.0715870924460745,0.012857850682662,0.921797762958135,0.546272277905423,0.635556738684349,0.092811178913536,0.251638043013458,0.149023029123374,0.130167086314833,0.278241077263425,0.276343214417604,0.304828630097121,0.0873418737916853,0.0423155606279437,0.353191973429724,0.162734169946876,0.0688874210593401,0.413280115673219,0.525492732869798,0.287900975459932,0.733302624827449,0.311751779710854,0.356990011738719
"SBS96G",0.0664866520608195,0.316263579179042,0.733619754421407,0.542948148734615,0.756828469735108,0.331935368541541,0.318820406168697,0.2740630383247,0.195594309379421,0.352134707106311,0.180295317680896,0.442841926794526,0.0835470898181603,0.0559549811209341,0.571508558259806,0.174250749946608,0.116123221076321,0.473160305918426,0.394906712015957,0.219407858042903,0.907223875929982,0.367625929043202,0.384293083615541
"SBS96H",0.167436752316288,0.0247378177126817,0.487471967374823,0.348747056799807,0.618470695027834,0.0566727179603335,0.102866197128026,0.178171446090316,0.159475326632606,0.351964854491579,0.037191036076537,0.22121170879137,0.0735016064807584,0.0174043514255328,0.258779889393452,0.0706387335711385,0.0488607522456874,0.270295718734398,0.336686634764193,0.233793991169809,0.474259849867372,0.325409810806947,0.993175985242688
"SBS96I",0.997356507237549,0.0179528771903027,0.0548528990840674,0.0232606875350078,0.185360492021586,0.0418416720240073,0.0622421978533656,0.0235798828463537,0.0149948965859583,0.0191988477993666,0.00793810123251215,0.0269579277258618,0.00759835892075023,0.00336112002739219,0.118942614112017,0.0123505804109294,0.0169528779096113,0.155441550661316,0.0209756066422063,0.0211061113260794,0.040535214756648,0.0971997949408979,0.20488858464545
"SBS96J",0.0283486599330052,0.571567540595934,0.18971670980329,0.151697925041832,0.285299080797981,0.505235257150757,0.473690920560489,0.0458513630529985,0.15242485300253,0.0591834228543008,0.0186171254113916,0.104044345336642,0.0273718691504559,0.0338098373936238,0.122155503706331,0.0193349480286993,0.0317522520320771,0.152534910079058,0.143534455123368,0.0534949899022297,0.334837870523441,0.100983391690322,0.0637059260505075
