Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K
DEL,C,1,0,0.00220823502177382,9.22958215824831e-37,0.00281357140341018,0.00119236934195134,0.029497508239001,0.0863722516223788,0.0223547310009599,0.380348393023014,0.00335459832080474,0.00969983319151749,0.00298585286654998
DEL,C,1,1,1.85649923878373e-07,1.56661674581748e-05,0.000410575541618535,0.00763992495386004,0.0200500715803355,0.234934774450958,0.00113131166247058,0.099260897859931,0.00339563752016905,0.000331370895920795,9.14514247365278e-05
DEL,C,1,2,0,2.52237226661123e-10,0.000168827488353283,0.00773954880423844,4.77717020623447e-05,0.215798436962068,0.00386542104184628,0.00182648670022855,0.00790671774710063,0.00132783424285045,2.80050280743183e-10
DEL,C,1,3,0.00169952596159419,0.00129107223383893,0.0104661578894593,0.00821207232540473,0.00473709762329236,0.0761161673441529,7.59441543777939e-06,0.0109567548520863,0.00482416321057848,0.000686953604532171,0.000510926818502071
DEL,C,1,4,0.00250271945733402,0.000168655930455739,0.0126704794028774,0.000365991569706886,0.000197400413916413,0.0450372156919912,0.00165167480532546,0.0142403085529804,0.000721207076828894,0.00187789759540465,0.00143583244760521
DEL,C,1,5+,0.011873836995801,0.000632552883474153,0.0412395505607128,0.0012239013607905,2.87387265420806e-06,0.0263531730696559,0.000902837059002195,0.000301537436971557,0.000216458751091553,0.00184216510329861,0.00369893766590394
DEL,T,1,0,0.0035698107268307,0.000210204317447505,0.0295270968580007,0.143178984113038,0.0342662965133786,0.0215236492455006,0.000174975318250183,0.11865124322474,0.0533621443621814,0.00453550316888141,0.0166725860349834
DEL,T,1,1,1.11620692966512e-32,9.78887611524648e-09,2.57664356807303e-08,0.00981891378577054,0.00933908210752042,0.00397535200222973,2.45191120226917e-06,0.00379497807816847,0.508397613465786,0.00249761646669335,2.33803845106628e-08
DEL,T,1,2,0.00550473031995352,8.2240314820745e-06,0.0142278267335315,0.172959707565606,0.00365784170069446,0.00129726194041723,0.00768123656278476,0.0903079976793379,0.0412004195712507,0.00187676194622424,0.00543740462744609
DEL,T,1,3,0.0137964828265831,0.000745142891202485,0.0520640619518235,0.117300612516701,0.00251444883433723,0.00160530760131188,0.0192114846594632,0.114865546505898,0.0741100535169244,0.00372751869947005,0.0131081983447075
DEL,T,1,4,0.0264542907731948,0.000120024391217157,0.179268648270518,0.0677333164401352,8.44695151317865e-05,0.00120802920329776,0.0132381547894329,0.100312877018005,0.018715358759533,0.0025333967973711,0.00966664134059101
DEL,T,1,5+,0.883468391895294,0.000374999293610865,0.0178493389673044,0.0128528248909162,0.000172628747409179,0.000437510416763465,0.000180847647748082,0.00624367913390714,0.00190699096875455,0.000791884198173629,0.0603496772301883
INS,C,1,0,3.23801603201827e-24,7.72252385516708e-10,1.26205844004552e-09,4.44231776222942e-08,1.43415126050695e-07,1.3029598673524e-07,1.25720763604938e-08,2.37627746849582e-07,5.76752347072914e-08,8.83528467025467e-08,0.554618183374405
INS,C,1,1,0.00017465448002099,3.80123172658564e-06,0.00202367677436996,0.0114767712168396,0.00208459960253094,0.00414977799810004,0.00141243559832219,1.6380975721404e-05,0.00118677863021734,5.08148178414558e-05,0.0148152511566877
INS,C,1,2,1.30273874901832e-05,1.19760945614861e-06,0.0011240779918171,0.00920976920693647,0.00158746884964444,0.00360211039485876,1.61899265914833e-05,7.41026759783381e-06,0.00158512284900098,5.03507688423532e-05,0.00047841118692304
INS,C,1,3,0.00023811656339916,0.000550149213469144,0.00332673764729407,0.00172392707594554,2.02603934610579e-06,0.00840065742377192,5.87695488401828e-21,5.39078563525173e-05,0.000151233975384457,0.000676724967051996,0.000749875834881095
INS,C,1,4,0.00188886157903287,0.000712955650896274,0.0126245058130007,0.000509029185541294,1.89389640718218e-05,0.00817910257726908,0.000216970774936271,0.000112339044499095,1.40213441409287e-05,0,0.00074950347385311
INS,C,1,5+,0.00374789168918943,0.0135324268373121,0.0948656605358701,0.00461921933107078,7.35416705310854e-11,0.00773903195746243,1.40129846432482e-47,7.82034514644536e-05,0,0.000360455671670934,0.00221473310356487
