"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.928834754511183
"SBS96B","SBS7b",0.9811061932192
"SBS96C","SBS2",0.9930354093301
"SBS96D","SBS4",0.975529719209201
"SBS96F","SBS3",0.920506820795394
"SBS96G","SBS40",0.910540177059022
"SBS96H","SBS44",0.993023115384746
"SBS96I","SBS17b",0.999299047015912
"SBS96J","SBS1",0.986701241569305
"SBS96K","SBS18",0.988998550844936
"SBS96L","SBS12",0.976324799959818
"SBS96M","SBS16",0.929166605476754
"SBS96O","SBS7c",0.998323457657124
"SBS96P","SBS17a",0.999792195807023
"SBS96R","SBS7d",0.962757888412027
"SBS96S","SBS13",0.998313674583436
"SBS96T","SBS22",0.981947132266198
"SBS96U","SBS28",0.980656158334767
