"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0494453124191816,0.408592532217845,0.203290770147091,0.0746816353283135,0.317283223286613,0.928834754511183,0.762341683314762,0.0724075027916025,0.0484648072431499,0.0309204224466172,0.01429628840789,0.041336335438499,0.00568561012090918,0.00195600001296015,0.0898453148390519,0.011723246178026,0.0127762615773017,0.0314219444567111,0.155817967547379,0.0274382621183503,0.326370705952468,0.0771314662362315,0.0514983571541929
"SBS96B",0.0679240288028752,0.228679367515819,0.35505783456979,0.146289430504667,0.421689669572178,0.613526807599855,0.9811061932192,0.0838145052373146,0.123443997663582,0.0579162253883299,0.0111195564578233,0.0845828591207211,0.0261012991299219,0.00401379033878635,0.106984640614595,0.0235273432101195,0.0121892690389459,0.0534261404007319,0.426555711384661,0.0361591520692208,0.400129370675987,0.108264116300241,0.0956455536785678
"SBS96C",0.0196382899919275,0.9930354093301,0.0876635453667545,0.0401849595227598,0.2349226232132,0.67748307365999,0.20481312015257,0.0597509120617904,0.059327481599996,0.0368811101359037,0.0152827514490961,0.0529353911437764,0.00178252780757204,0.00105374840157357,0.0637543679694509,0.0069974083231642,0.0118430510896773,0.0408133126289039,0.0385590574313084,0.0227175532278693,0.317296781779733,0.0859231894046683,0.0157199764667846
"SBS96D",0.0217172128941243,0.0313345121778646,0.571646604879913,0.975529719209201,0.314844464523283,0.0683455330357758,0.129126629626127,0.0821242462397401,0.0645005017396874,0.0861828267649403,0.0774597215957524,0.133113620704569,0.0229992171590448,0.00902516530401565,0.666556303674565,0.11929705347107,0.0161333751420871,0.726537129102616,0.601084306802191,0.757186919642604,0.552273295629056,0.0881923954813901,0.325151956887912
"SBS96E",0.202582567556537,0.0373682190414658,0.618614204816332,0.246378768731723,0.859028428421167,0.099687724988318,0.209276547842824,0.113330518740357,0.200761574894085,0.475158909119,0.054684156963793,0.465354029083285,0.106342006534024,0.0416160412066008,0.255016408282008,0.131683525351226,0.0427256722856337,0.241339103123903,0.220372533122505,0.0546205682740983,0.602489317539545,0.283744851678161,0.673615037950085
"SBS96F",0.0775212999453038,0.0149482232409983,0.920506820795394,0.550554039706326,0.627777913759764,0.0942044838745807,0.251292167519521,0.15087760554687,0.136680498800585,0.279743916766831,0.278591431971347,0.296015947377465,0.0858091397488802,0.0397938359216828,0.351348564347728,0.159286734245212,0.0656565689190364,0.407909922058762,0.520628290382345,0.297501320013487,0.730070764819075,0.311912541355416,0.343845470877941
"SBS96G",0.059848084484464,0.372575749869252,0.71892154828386,0.525039845979839,0.747152471632939,0.38499262474224,0.358360719074722,0.294747527760144,0.206032827893493,0.33274708622237,0.169901936432323,0.411020664825368,0.0819876160033889,0.0631920061163763,0.550867337395764,0.172311835443412,0.128725144132629,0.448055929645182,0.38355296228295,0.208854708117802,0.910540177059022,0.373837397723004,0.367352929659714
"SBS96H",0.171990753525931,0.0227327454040871,0.479302767630735,0.350832118360836,0.605614291863992,0.0542584824244774,0.101331152603083,0.174607772031038,0.144959871315129,0.331537443119664,0.0384477998257834,0.211750580259136,0.0659692564923466,0.0176052883873486,0.259558949391719,0.0686816865336856,0.0510646618728661,0.271987918805159,0.339481715308952,0.236936765906488,0.467390391289398,0.320256980592831,0.993023115384746
"SBS96I",0.0180506752037274,0.00125673014165495,0.103971908696363,0.0125327484012071,0.0955237243389047,0.00231197550472306,0.0054799130523483,0.0376868315638792,0.013266112132716,0.0124237196403062,0.00265993185609736,0.026849693495466,0.0359600207189165,0.999299047015912,0.0330134381139707,0.0107736755273944,0.402950074862206,0.0118286684256961,0.0300574628741795,0.0215314465706558,0.178526841021373,0.155848294666217,0.0216009140817346
"SBS96J",0.986701241569305,0.0171729494914606,0.0561173391903149,0.0232011220283832,0.175968288311711,0.0379948399903063,0.0562992520861003,0.0226310410626256,0.015003659281043,0.0203808374436228,0.00773345297705985,0.0298839230640133,0.00714876122357,0.00354109523235402,0.113395769104645,0.0126375414318508,0.0174559523180762,0.151153954974771,0.0203575326995494,0.0206932540364063,0.0410381466513179,0.089599302565024,0.192507253919382
