"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0510456503405413,0.412133201617025,0.204740687524716,0.0752581918840819,0.319630250748049,0.930484033525301,0.764040269848323,0.0730513183824961,0.0485868903309562,0.0313512284254045,0.0143982713571967,0.0420113997131158,0.00594309922340297,0.0019757603988062,0.0906149354865514,0.0119068055824799,0.012845487787436,0.0321285380042713,0.15786022037411,0.0275839176203677,0.328278895350881,0.0777141958141113,0.0519162317212897
"SBS96B",0.0693135442438234,0.231947649796735,0.355142026082029,0.147069985569576,0.422992425620797,0.616057764293739,0.981706807715939,0.0835467932230117,0.12358609449108,0.0578593282136646,0.0113266861593224,0.0848646914623529,0.0260192834739186,0.00402863560845057,0.107986272184532,0.0234347063369817,0.0123274895142387,0.0545289988105949,0.425637879656186,0.0369422124278229,0.40117017810829,0.10797923211334,0.0962838558274614
"SBS96C",0.020272680147981,0.995400670931542,0.0896370647616694,0.041074637997578,0.238367301993402,0.683624751343568,0.215492491683433,0.0601032806905654,0.0622393441354998,0.037295691157718,0.0153500283799003,0.0540765978558017,0.00184865649690691,0.00109856049051726,0.0641921821702989,0.00706233111072019,0.0119284936324285,0.0411173396985113,0.0397913228093928,0.0230088168318424,0.320189445602956,0.0869870375556533,0.0162829027608189
"SBS96D",0.0226377215264547,0.0336682324769421,0.580648103031295,0.981344243889092,0.325726052352558,0.0707914844232097,0.13134652532316,0.0869109325840866,0.0648370972918845,0.0887434810395222,0.0796007002192881,0.13912010880004,0.0248284965168321,0.00871704642878102,0.688884767681067,0.119029777131581,0.016470477093815,0.76862806620787,0.614445104953708,0.7267666501187,0.566339197267884,0.0895699817157477,0.324605621476133
"SBS96E",0.183491289729222,0.037288243457714,0.611577081027802,0.250690299996618,0.892841863835448,0.0956503972160031,0.201552870770781,0.104516904612214,0.198186569821029,0.546433679289473,0.0444165112181566,0.69697932068217,0.117821269450553,0.0447022890682346,0.237835121099345,0.149924196700171,0.0475918156160651,0.248553725779786,0.224570299474866,0.0540307121021159,0.604702206557873,0.281505633945328,0.597497774204888
"SBS96F",0.0770523567964859,0.0127723122084746,0.925780437604711,0.536823578858615,0.653852110134112,0.0880155294352263,0.245158692861549,0.152917717999464,0.139504084954832,0.30893623640593,0.274931655174576,0.31598600002642,0.0854027988372402,0.0385113502092309,0.347726703011843,0.164847800852704,0.0815845209344828,0.406899499380396,0.517008090152293,0.278208349551464,0.738427172896887,0.329858270597523,0.368108201716639
"SBS96G",0.0683645543980337,0.360451654595865,0.732540912075793,0.532832928879296,0.772048963235456,0.37647348324488,0.356426804253458,0.279442931104338,0.209596908212063,0.35455318829474,0.180343845349257,0.44993505802842,0.0995699805372275,0.071967245787104,0.57098753206637,0.168704982933911,0.170856338419583,0.477143553857161,0.395867782590797,0.210108891142881,0.925482552687359,0.38959898409123,0.37945553248906
"SBS96H",0.999701448893049,0.0194917480232417,0.0554382802992482,0.0241798499400132,0.192497950945115,0.0452958464233129,0.0667682931241667,0.024471931752843,0.0152835329649758,0.0187127202698144,0.00776011824154754,0.0260029792409306,0.00780575850665566,0.00356581763641572,0.122197653290478,0.0124103656262173,0.016578775603807,0.157784880052033,0.0218699507541174,0.0215332101686179,0.0418587539426053,0.1009647420412,0.212712101913196
"SBS96I",0.181169736324099,0.0167755850862801,0.482608693893188,0.345897115061093,0.61230625613071,0.0502300409847893,0.103155857042778,0.178048535663992,0.162708252880156,0.335926679561427,0.0390027224961002,0.207684984843967,0.0672408887452987,0.0180570302546091,0.26085955334165,0.0692062345608569,0.0518949772944813,0.270383395571265,0.333417920191845,0.230716336870792,0.469582491596816,0.3253472664151,0.993957271646858
"SBS96J",0.0179692465784514,0.00121524678133222,0.105190109994843,0.0125984874322705,0.0966514980391846,0.00227172468038428,0.00556505936795626,0.0383855606830175,0.0134116533683364,0.0118927107390925,0.00266057697361566,0.0276077277068276,0.0343421656180888,0.999489500208965,0.0334238316803082,0.0107282499273054,0.414251386651736,0.0119315131107397,0.0304988257930483,0.0217235305646307,0.181547272069495,0.160718831681711,0.0221477426367501
