"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.930484033525301
"SBS96B","SBS7b",0.981706807715939
"SBS96C","SBS2",0.995400670931542
"SBS96D","SBS4",0.981344243889092
"SBS96F","SBS3",0.925780437604711
"SBS96G","SBS40",0.925482552687359
"SBS96H","SBS1",0.999701448893049
"SBS96I","SBS44",0.993957271646858
"SBS96J","SBS17b",0.999489500208965
"SBS96L","SBS12",0.975923846599582
"SBS96M","SBS18",0.988814766258057
"SBS96N","SBS7c",0.996919847133354
"SBS96O","SBS17a",0.999700131200361
"SBS96P","SBS7d",0.962047841646194
"SBS96Q","SBS13",0.998354006109075
"SBS96R","SBS22",0.981607757024153
"SBS96S","SBS28",0.972462425791301
