"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.919369098083421
"SBS96B","SBS7b",0.952566856153685
"SBS96C","SBS2",0.960461202305313
"SBS96D","SBS4",0.972395768364607
"SBS96F","SBS3",0.923596294142018
"SBS96G","SBS40",0.905911685362198
"SBS96H","SBS1",0.99859609656822
"SBS96I","SBS44",0.99152271784547
"SBS96K","SBS17b",0.999383757498295
"SBS96L","SBS18",0.987893604041017
"SBS96M","SBS12",0.974080151981203
"SBS96N","SBS16",0.912906209507884
"SBS96O","SBS7c",0.998446304929228
"SBS96P","SBS17a",0.999685814717085
"SBS96Q","SBS7d",0.968202754843395
"SBS96R","SBS13",0.998766471025267
"SBS96S","SBS22",0.980272722812425
"SBS96U","SBS28",0.982684125438421
