"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0451467720621023,0.38828396500915,0.202763998795266,0.074853349888627,0.313719376668848,0.919369098083421,0.772978931291529,0.0702441464142581,0.0519018015856361,0.0301267186967658,0.0138005720007384,0.0420689270778237,0.00527183165508915,0.00195543927437913,0.0875932551669907,0.0112565431135568,0.0124394088296391,0.0294097326464686,0.155520069092143,0.027135481546829,0.322134946884934,0.0755492881253463,0.0502631826455496
"SBS96B",0.0711653756023082,0.164718241028813,0.360402121523275,0.147151055782202,0.412350037573359,0.546317663388343,0.952566856153685,0.0845880470333753,0.114368560258086,0.0592182460220336,0.010650590886345,0.0796060983957232,0.0292828489844602,0.00405400723279303,0.106435853541003,0.0247795828136197,0.0117173261777417,0.0536844289731763,0.450660555037718,0.0348609764809139,0.385272520192099,0.104885456866052,0.0996991988866158
"SBS96C",0.0198974686912087,0.960461202305313,0.0756666234945604,0.0337230860890702,0.21245189093264,0.639594637616544,0.137580724727232,0.0600286803119755,0.037553205188995,0.0335926025725536,0.0152169590629051,0.0420324826913846,0.001876030013509,0.000805384855928071,0.0617757103147346,0.00710838825508475,0.0113858376099409,0.0392777874260022,0.0309339996820296,0.0205072904414998,0.295741546314531,0.0791081155414626,0.0142009404889502
"SBS96D",0.0219327104286039,0.0264899068657486,0.568213338918052,0.972395768364607,0.310020298962583,0.0648952523740316,0.126156905499973,0.0819323500013642,0.0639997381362978,0.086256476192927,0.0774395387044159,0.134855982796688,0.0239306354489011,0.00831725997668031,0.666122805057097,0.126446002354109,0.0157552778204324,0.704662217094399,0.591431038882205,0.769225793514698,0.546758949853457,0.0889887646762684,0.321811385252776
"SBS96E",0.204070379645779,0.035775632602934,0.615392695349292,0.249908503753143,0.861980767499881,0.0882632345044256,0.1829367865414,0.119477422266707,0.208937766695688,0.493147898460128,0.0548354680141863,0.485369889138597,0.116491452719882,0.039797817239422,0.258611734677269,0.128742270005815,0.0425924019347828,0.252012277497931,0.209114110753837,0.0561471916789281,0.602416509759299,0.291445754200078,0.683758132577701
"SBS96F",0.0690597167192855,0.0128160103806194,0.923596294142018,0.543885124679604,0.640448956066522,0.0932921390055015,0.251809647969894,0.151843907139708,0.135416547800324,0.291094392739486,0.271113050479047,0.309227621155444,0.0897922634720796,0.0410777323030481,0.351881979409376,0.16099628637127,0.0730747164241565,0.412910744643201,0.5229206550902,0.285302105396857,0.735125176102692,0.316890958862175,0.356084620302276
"SBS96G",0.0671330564061091,0.314382784759855,0.730525552805297,0.544625140299065,0.752145582164101,0.329690570950136,0.315705308794974,0.27864440961215,0.194699394497192,0.349269145987119,0.178144999946502,0.440361336453926,0.0847370253070434,0.0568876372333164,0.575138010889026,0.174304105574521,0.116964485303408,0.477419689810426,0.395178735336675,0.219519493208428,0.905911685362198,0.365969670770895,0.379159794998589
"SBS96H",0.99859609656822,0.0180248047358691,0.0546878137139131,0.0231433995675235,0.187760629174542,0.0425732086890264,0.0636705251552638,0.0239861160828581,0.0151910315800232,0.0191166110345445,0.00789276190053978,0.026955349664429,0.00755672088728288,0.00362785007972333,0.119939057720881,0.0125484950184336,0.0168304709552393,0.156034788863898,0.0211827323188285,0.0211354282475401,0.0405946792858743,0.099334204396257,0.207925771941011
"SBS96I",0.159771137253758,0.0228117117047204,0.489629786933751,0.360562676006343,0.613748844173441,0.0557859007116195,0.103670095616837,0.17707996401806,0.156228730034081,0.348832450758527,0.0386901135449875,0.221565816547899,0.0731591963898304,0.0176933405952028,0.263090613810791,0.0712677353607528,0.049860420079994,0.278368672405037,0.35142606375369,0.246087390665258,0.475432164057653,0.322267818022911,0.99152271784547
"SBS96J",0.027587894882901,0.57929468228878,0.182586533767641,0.143448941187387,0.282222342475568,0.514465425934722,0.477843783320484,0.0434296250264807,0.150105921531468,0.0532867338535895,0.0251646613200159,0.102458621857738,0.0129554378482245,0.0200087976817146,0.118731695225253,0.0171247145734381,0.0249539710083937,0.149084896614382,0.142114406874367,0.0519130667630264,0.329979146462134,0.0983164255016399,0.0607605603712249
"SBS96K",0.0141661552456178,0.00119318976806071,0.104292386577237,0.0125687234977854,0.0952726143627305,0.00220111111527554,0.00525963415831932,0.0378998580178851,0.0131542783103306,0.0124272358787846,0.00265518729397607,0.027004156607488,0.0359480939345758,0.999383757498295,0.0326218529496149,0.0108717671301233,0.404299230550735,0.011325963819679,0.0303018399120668,0.0215166837085212,0.179080987129349,0.156135723810207,0.0210641980964037
"SBS96L",0.0501707908858033,0.0135086784216131,0.357844150854875,0.669660622570903,0.270825057336068,0.0197891129222111,0.0363752088007622,0.0498188903973678,0.0529178185677791,0.064108481331647,0.114409019486784,0.103597162202762,0.0263997942768959,0.0155427508726741,0.987893604041017,0.0383281726834276,0.0175314027051044,0.791961798093765,0.302784053734305,0.424464482357667,0.49133544881216,0.0947632077474838,0.173771584546403
"SBS96M",0.026551048344293,0.0430774571391582,0.497508802596463,0.124998912743245,0.702893519560534,0.0462981615458254,0.0968874867146812,0.207703268394522,0.376866595377303,0.974080151981203,0.0448114517462284,0.521512085503213,0.212255411083752,0.0172238394798094,0.0949431401113807,0.0984348411754967,0.0241209802632041,0.0984895838853432,0.104236399191465,0.0384507820913592,0.443743841888693,0.412560092301263,0.373759971035088
"SBS96N",0.200907844586006,0.0603641895868811,0.468217758193388,0.221968946961777,0.734612556731848,0.124457796041987,0.201267480101501,0.0782018069173865,0.141050152882088,0.533413664510431,0.103778413761882,0.912906209507884,0.115059110963059,0.0167715451670606,0.181525601703396,0.142967856950732,0.0276719825166946,0.209687105446289,0.200717335737161,0.067082602967911,0.469536462423586,0.24042288751658,0.306032766113136
"SBS96O",0.0239589199385902,0.0619783218841273,0.329496814072055,0.124518587535332,0.25966903491436,0.0910879818648218,0.0968232619977702,0.998446304929228,0.197974450312844,0.216942906333964,0.0434384922128868,0.0948116062203849,0.146064328185495,0.0360693047233617,0.101410266611539,0.204934576791951,0.0849292971305863,0.0550283922958581,0.183695172526443,0.0437151734015694,0.375567733171632,0.555342042423068,0.19684814971652
"SBS96P",0.00856776420167171,0.00272118838970048,0.250043569536433,0.0532864766309907,0.210916067801326,0.0077381572996722,0.0243458990567672,0.179228554160199,0.124592513607519,0.348654089432354,0.00671943446759837,0.0809478823870579,0.999685814717085,0.05134514124769,0.0306719998814612,0.0766244312443478,0.0266382254030388,0.0264303792874819,0.103761770993096,0.0167824535809403,0.199273845227717,0.0973332806300743,0.0905177521166579
"SBS96Q",0.0211955360711966,0.0876331907105276,0.3087999354298,0.0964303240572972,0.380959389032956,0.248744084128615,0.278756353166313,0.204509005899209,0.968202754843395,0.420792354686834,0.0189877183712927,0.148646971227448,0.114452957446939,0.0166193804630369,0.0994388711662776,0.0495619815950236,0.0216471039073555,0.0565503723868799,0.0733692193950032,0.0634174052388004,0.317601092820673,0.265681967451546,0.194299275667819
"SBS96R",0.00777590395941152,0.00831281593746014,0.288431969563843,0.103353312260573,0.15546036670711,0.00791341380676136,0.00992907955609179,0.0428329219239223,0.0158776728699255,0.0231136842963713,0.998766471025267,0.0983125465381329,0.00637486761234407,0.00273870612243277,0.126794775840889,0.0133167829393697,0.00553343015919883,0.0703796122749479,0.129895665760412,0.0274114042111941,0.297773198165765,0.260274909937503,0.0338146565616109
"SBS96S",0.0243732041428132,0.0122719368003632,0.356837347524599,0.308200146083937,0.230702791369532,0.018926593783711,0.0459722655793815,0.163068983067047,0.054016879153872,0.118542065393616,0.0325644127018155,0.162838471825084,0.0916393768980825,0.0126790788616425,0.0957815508325569,0.980272722812425,0.0101673845099148,0.0711111008046401,0.510648616358992,0.0309705001489808,0.223211554210509,0.222170610600787,0.0907519655154866
"SBS96T",0.342271696638018,0.0684407788341114,0.553782143789805,0.290041900043804,0.547722230086005,0.0967984611423514,0.158882230090299,0.399990583587331,0.253272432510118,0.388642779520035,0.276823209643184,0.280468925306214,0.175791914542396,0.135242205753809,0.302184763605446,0.226532370584561,0.331126545455978,0.335278949257838,0.293222366714283,0.0983664264980215,0.582527141242289,0.896720462910575,0.381928460453764
"SBS96U",0.0150764033418923,0.00430392704112526,0.1555909550092,0.0380579401277061,0.165639338798154,0.00735989535415915,0.0188702136175969,0.0995205288483033,0.0332587290779905,0.0372280853993406,0.0099389960431957,0.0789727048441621,0.0295419527073508,0.263450726503559,0.0695652352912115,0.0229837365085604,0.982684125438421,0.0410489860076191,0.0483523517744293,0.0310191163896815,0.296503927309197,0.521499938985163,0.0776630855049885
