"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"ID83A",0.0030138244593404,0.999437838485884,0.0313767016593751,0.00453218953382339,0.149547901553481,0.024983369517085,0.0288293228694814,0.0182912054073967,0.0165902143933404,0.0165103803555255,0.0778091553994803
"ID83B",0.99981446890053,0.00489309045088238,0.0822238390269016,0.00342964664757872,0.00801579029968302,0.0382981635291778,0.0509651365222528,0.0148115231822753,0.0586350626925706,0.0223675166437808,0.451675884153555
"ID83C",0.552487819142149,0.112884429063937,0.145757032974762,0.0712473369341315,0.319180925658237,0.0972384958286455,0.0755006269357139,0.252928708376669,0.0690987917587939,0.0873556762502491,0.278883909801572
"ID83D",0.00959361266912462,0.10752469111373,0.21526561290554,0.153701486642836,0.875415561194685,0.0823780174645439,0.107137197313027,0.456616617278027,0.185252215471377,0.19217680703613,0.0662027973443305
"ID83E",0.00525711039546306,0.00252551770457887,0.0691932495923038,0.0286242379117502,0.141045888684375,0.362588902331527,0.98918920065076,0.0811568765577999,0.0124733834017678,0.0645350649258789,0.0276548032575615
"ID83F",0.00905827477529564,0.00754168800535282,0.976568682155921,0.0671201520354393,0.27228305939794,0.0515764592228547,0.0872685609513943,0.400329097477898,0.226166451186103,0.0927366713813081,0.0219099822606815
"ID83G",0.0160390850867117,0.00541472321230074,0.0430730216998993,0.0193854652274512,0.0976648120500968,0.997121567866847,0.4293614621335,0.0726844173934412,0.00542135526810583,0.040835717609544,0.0237386953692379
"ID83H",0.00937711712372147,0.0414957290602881,0.548953926942527,0.0364320852321363,0.485704362470093,0.108353387854197,0.136153418819899,0.993743538618721,0.0173446283156147,0.208767270889111,0.0550901126203558
"ID83I",0.0039666410669873,0.00823153435827162,0.0924753780848107,0.0446457543811443,0.605126710263888,0.0262612874661626,0.0684585931827927,0.194880072296485,0.0288804971106632,0.989098984143952,0.0201051141360691
"ID83J",0.00798338724342162,0.01276556130049,0.0638831832256264,0.990198836076796,0.232085606010014,0.0302325189475795,0.04707529022631,0.0732589580029563,0.00572147133817591,0.0449769193859363,0.0229937018382349
"ID83K",0.263053662531439,0.105048164255365,0.0457022924770106,0.0193857786048265,0.056392525403419,0.0259501712489654,0.032625282335644,0.0312110132018113,0.0334921955332196,0.028416393170777,0.978638581748827
