"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.919459830470228
"SBS96B","SBS2",0.992737099993416
"SBS96C","SBS7b",0.978944209162292
"SBS96D","SBS4",0.986754643743309
"SBS96E","SBS40",0.924229370883231
"SBS96F","SBS3",0.936643685979737
"SBS96H","SBS12",0.959163291009915
"SBS96I","SBS44",0.993964932884974
"SBS96J","SBS1",0.999613646767746
"SBS96K","SBS17b",0.999494157673419
"SBS96L","SBS18",0.988699378071579
"SBS96M","SBS7c",0.995700621982279
"SBS96N","SBS17a",0.999765575154736
"SBS96O","SBS7d",0.962138607532001
"SBS96P","SBS13",0.99877171554517
"SBS96Q","SBS22",0.959778090166857
"SBS96R","SBS28",0.975303247616671
