"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0497264739791753,0.385105924512367,0.204292016806375,0.075088359840319,0.31515968876348,0.919459830470228,0.767857708553924,0.0717513973104107,0.0472704080032433,0.0303625204124307,0.014088008595225,0.0407254672724202,0.00560743410051401,0.00194913458796631,0.0895059691729215,0.0116942224890865,0.0125811281911731,0.0308836517159863,0.159113580033008,0.027194593721631,0.32201000122638,0.0756457082968492,0.051348556053438
"SBS96B",0.0203973255854406,0.992737099993416,0.0884476652518495,0.0400335113382204,0.236044753453861,0.679832297595067,0.206374125314494,0.0606866260897069,0.0591967058400167,0.0368068767128272,0.015200445727408,0.0528004319028735,0.0019795881977579,0.0010722644509561,0.0636610878533949,0.00720144270690959,0.011866978280025,0.0407375573923894,0.0390725785779632,0.0226252251935737,0.317978033681612,0.0862586594793564,0.0164406205717724
"SBS96C",0.0707326835972324,0.226764855412876,0.357039596301901,0.147829476311137,0.424394457716548,0.607404578953893,0.978944209162292,0.0836125964683414,0.124093482625146,0.0588821866733837,0.0112683779119189,0.0859765786423394,0.0273135370894537,0.00409559084242728,0.108473901058067,0.0236541625721427,0.0124826346645249,0.0552720874272572,0.428491543019775,0.0370397794283255,0.401175545650228,0.108034083856537,0.0979281566399529
"SBS96D",0.0227654019313009,0.0317787877851529,0.590707452212838,0.986754643743309,0.329486615898888,0.068845130631244,0.130231146726142,0.0979405778552379,0.0651907504029242,0.0928844934943763,0.0774245705862036,0.14337726588143,0.0306108890473342,0.00818169879131536,0.680410319581488,0.161390854750505,0.016707995425763,0.768055140142328,0.637402075505182,0.720052631546703,0.567767324960991,0.0960225176258298,0.325061823084961
"SBS96E",0.0741495058752949,0.31716264674407,0.774881218800116,0.558707187896067,0.795452898466404,0.338460478789554,0.344042928966657,0.242416157785703,0.20095728181481,0.37191476513522,0.187687823169848,0.484901820107641,0.0891170903509914,0.0546982522083834,0.569373584836686,0.16869264028692,0.117872275026493,0.500301091468726,0.420881152787697,0.222662078305291,0.924229370883231,0.359361037837285,0.398866894395974
"SBS96F",0.0684223686754748,0.0146191783359956,0.936643685979737,0.53272178821369,0.673218080024109,0.0852753516195994,0.241944183589366,0.167992707133494,0.14768995244131,0.34067614599572,0.267071170014485,0.329990380603873,0.0967728052813126,0.0432199417104698,0.342941065143138,0.209835357841541,0.0992207089943133,0.399890924779233,0.52742610134769,0.264332825938595,0.746763529891718,0.355152474929592,0.377080217819478
"SBS96G",0.139091136566463,0.434957769435395,0.533861886109263,0.23036745904344,0.823106120653148,0.415167924316166,0.436135110362103,0.115015750049234,0.237967378855936,0.446299871606316,0.0789125284119958,0.609470177727285,0.0956678377739899,0.0364233325942993,0.21341988792379,0.12313001327357,0.049718697688323,0.210699550398729,0.208600539104507,0.0566638876063775,0.635766520943075,0.296356275356739,0.44718664274621
"SBS96H",0.0488591546233993,0.0616739063735581,0.544151341225249,0.147438744547639,0.789364513238319,0.0644779142893844,0.11217835555738,0.20149543558499,0.356062787993815,0.959163291009915,0.0705208667392373,0.673030730151434,0.197196611753014,0.0224849980936629,0.118444489457471,0.119881811064973,0.0373780255546439,0.127556611719006,0.129189738136794,0.0365082149824835,0.503746545385221,0.431191530781863,0.414605686870618
"SBS96I",0.170132126395588,0.0208987361063692,0.491251132427271,0.343579837239808,0.626264516078426,0.0529090470339147,0.10470900077799,0.184274316401262,0.185980768870325,0.35419394855561,0.0379856072159011,0.222446711478239,0.0764061024155605,0.0174418320684929,0.259415597102319,0.0702622413008126,0.0473882609422847,0.26806456472443,0.329121273076456,0.227252579841722,0.47830921625675,0.329383661516743,0.993964932884974
"SBS96J",0.999613646767746,0.019414411297261,0.0561021126599642,0.0241038005978365,0.193049568053726,0.0451518102106169,0.0665954075026558,0.0242086636636284,0.0156508079633568,0.0187103455624784,0.00814358469808485,0.0262732271620653,0.00771315500159075,0.00351125199621494,0.122599069022398,0.0128495672682668,0.0165430854470732,0.157714120019263,0.0218246614795262,0.0214784193739888,0.042602205989392,0.10232003085874,0.213871896971076
