"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.936669200899803
"SBS96B","SBS7b",0.984786243000625
"SBS96C","SBS2",0.995512240919853
"SBS96D","SBS4",0.980027689715249
"SBS96F","SBS3",0.921888201714467
"SBS96G","SBS40",0.914597078761428
"SBS96H","SBS44",0.993360439399236
"SBS96I","SBS17b",0.999402089955646
"SBS96J","SBS1",0.993307021788507
"SBS96K","SBS12",0.978252249373985
"SBS96L","SBS18",0.989270221449318
"SBS96N","SBS7c",0.997536857119938
"SBS96O","SBS17a",0.999710881587318
"SBS96Q","SBS7d",0.960172363414632
"SBS96R","SBS13",0.998527683605188
"SBS96S","SBS22",0.982449804292244
"SBS96T","SBS28",0.979286473289071
