"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS7a","SBS7b","SBS7c","SBS7d","SBS12","SBS13","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS28","SBS29","SBS35","SBS38","SBS40","SBS41","SBS44"
"SBS96A",0.0507745952914598,0.428816934004185,0.203180103390942,0.0746968921052554,0.320045842579788,0.936669200899803,0.757821283648871,0.0735764843947269,0.0484152523102933,0.0315417093614331,0.014590771907213,0.0420482529090832,0.00570813569554318,0.00195766482487647,0.0909035489372071,0.0118425106502932,0.0129706700232914,0.0324802620571049,0.154948841734532,0.0276883810487866,0.330545727992288,0.0784445126532129,0.051481683954411
"SBS96B",0.068551594225618,0.233791818650676,0.353526470046963,0.145942159491126,0.4221679282537,0.625433847944811,0.984786243000625,0.08353458976849,0.12240344029278,0.0571377411150885,0.0112589420237794,0.084381383594365,0.0257500313580683,0.00401808928730407,0.107486623808649,0.0231819253408022,0.0124292253942655,0.0536362272770742,0.422457823356336,0.0366456210290866,0.400842959671468,0.107761687898646,0.0950582031243075
"SBS96C",0.0198809198025141,0.995512240919853,0.0893148152095361,0.0409912308363209,0.237857847192909,0.680795583867419,0.213924214412631,0.0597160569783759,0.0626334641141714,0.0373800052833835,0.0152698789782978,0.0543633925520762,0.00185500091039636,0.00109367359114843,0.0638335519045515,0.00702047766965819,0.0118260254963249,0.0409809746612924,0.0396047969355181,0.0229090946596182,0.319752468894824,0.0868711255191436,0.0161576523955897
"SBS96D",0.0224329755069455,0.0325362835126979,0.578918997556226,0.980027689715249,0.321311938657089,0.069660126053629,0.130574757655033,0.0840694866329094,0.0648442027770291,0.0876206330180163,0.0789183022992314,0.136279809982643,0.0248672954997241,0.00899772044593383,0.676977126208841,0.12464303705684,0.016359619473165,0.746513657081576,0.607201992602298,0.734745940782254,0.560898217252202,0.0898119154835566,0.322802149234218
"SBS96E",0.189791519380686,0.0347805622202064,0.61730220121005,0.246433229011554,0.883320923811639,0.0980428805396971,0.20923496087152,0.106370530587313,0.198466737624339,0.509807491691355,0.0480995964517823,0.599187474715534,0.112453228032304,0.0389803496567747,0.244945634868232,0.143973715846656,0.0400269694927705,0.235380617675491,0.22008154911241,0.0541736218697894,0.605398933573333,0.279114328365069,0.640035387941821
"SBS96F",0.0776085090435021,0.0128157716698973,0.921888201714467,0.545305957405638,0.636391755926515,0.0903616821101266,0.248902955036786,0.15490463691554,0.132697317454559,0.2860413406203,0.279633526805843,0.301226651224878,0.0834936214932405,0.0374712883042347,0.350203143617514,0.158761870740365,0.0725000826355073,0.408901060477339,0.520781945751141,0.289184653785519,0.733408165847904,0.319419030842879,0.354872740247161
"SBS96G",0.0648373150235293,0.373070367071454,0.721343197581805,0.527799538777755,0.752921685505004,0.385679747696804,0.3634065878879,0.289521944379176,0.210343653876168,0.339772646113115,0.172836539224828,0.425487404056083,0.0869800625899959,0.0643014315885387,0.55794983653257,0.170625427905474,0.139103044610743,0.454649421730015,0.387381752751868,0.212183294202029,0.914597078761428,0.376556116963541,0.361997491285382
"SBS96H",0.171208991631486,0.0210222905432059,0.481793397822621,0.349245614594539,0.609206527166302,0.0528599980243778,0.102317865937571,0.176178542778861,0.151481214109048,0.335998115000857,0.0380416724228778,0.211094560066978,0.0670163400157988,0.0177842304367992,0.259458249526147,0.0689077521069152,0.0511931452933515,0.27074471545339,0.33791141821109,0.235017183011305,0.469291621051469,0.322011664273621,0.993360439399236
"SBS96I",0.0192429525824355,0.0012003196208149,0.105305386314455,0.0126324240500982,0.0965773855828016,0.00229236089686036,0.00558378415650862,0.038365149644664,0.0136645857562812,0.0125357391160117,0.00273420470742036,0.0274528518660183,0.0362387844215509,0.999402089955646,0.0332957010622916,0.0109591726151893,0.409169285314709,0.0120055927614704,0.030652305774137,0.0217203277823789,0.18079560542683,0.158640688614552,0.0222311549549973
"SBS96J",0.993307021788507,0.0184999451406425,0.055602324590332,0.0234948539367054,0.181276771383648,0.0409047763178142,0.0597617166135067,0.0234831925476301,0.014951368172937,0.0197424209949522,0.00777770630995012,0.0281399363182215,0.00735112500838597,0.00348752830584098,0.116471498425199,0.0123375178227624,0.0172437783361865,0.153820117367748,0.0208499046720332,0.0210090471662497,0.0410619280428193,0.0932014002332837,0.198973306643757
"SBS96K",0.0258641527432018,0.0579102151872727,0.49607948974126,0.124212475465668,0.705964676814463,0.0560960126790151,0.100099525920735,0.208120141873253,0.380284872096751,0.978252249373985,0.0460056635893299,0.534678228018311,0.218743795582541,0.017791386981308,0.091975965171339,0.099717414551999,0.0244464759918437,0.0924322594776968,0.103016867354334,0.0376319580578224,0.446257935869909,0.414022267636193,0.371888679442732
"SBS96L",0.0565256584902473,0.0277602055386741,0.361393612465225,0.671716353852204,0.278985729817851,0.0310141234774012,0.0424339263509764,0.0528971393089606,0.0556742867665174,0.0667498568860913,0.114073022889139,0.105772368062636,0.0277067907491771,0.0134949033865148,0.989270221449318,0.0383018452945036,0.0176126611952255,0.790330334874919,0.306128900216658,0.428266159985769,0.497834306405404,0.0981224236434639,0.179846295206993
"SBS96M",0.208535619218838,0.205072847388134,0.577279824741197,0.469315180109494,0.731779003898083,0.204330477828919,0.248974894712663,0.111194582205266,0.165745119747125,0.428580360095282,0.118471336958927,0.689729779591671,0.0755054796418818,0.0604719356548968,0.45282890140209,0.129383760379735,0.0568300322668676,0.650307581073119,0.427017373461982,0.143626138171476,0.629062274980041,0.251936376278435,0.354277333244842
