"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"ID83A",0.00287317467575987,0.999423196497066,0.0314706105518593,0.00457638625254697,0.149213353423906,0.0249208692362338,0.0288316777231269,0.018109924007204,0.0166216997123916,0.0164437699784094,0.0777065595629935
"ID83B",0.999814721342957,0.00472347407028872,0.0822302980217871,0.00343380111270064,0.00797359803481512,0.0383000265201618,0.0509616678232516,0.0147866944691198,0.0586360220377954,0.0223609300904288,0.451662784603493
"ID83C",0.574625436850387,0.128782066762722,0.149871092188766,0.0701349686950341,0.318018800672558,0.0759579201673349,0.0547624992664717,0.253588999006375,0.0950822863492332,0.0865533146588573,0.290118345254765
"ID83D",0.0124518683496128,0.0884780021263633,0.22056740567966,0.149309242477968,0.879391562939529,0.0844412124960672,0.109981296031458,0.466380402600736,0.181530424910974,0.2043000830649,0.0664512842645167
"ID83E",0.00568318635783194,0.00282607092484866,0.0675787933182159,0.0290413878477133,0.144585113043202,0.364033483471237,0.989208938720454,0.0780644580119435,0.0125407037728416,0.0696264752280672,0.0278515912972581
"ID83F",0.0104842549157836,0.00714817014601243,0.976269243372294,0.067235771575662,0.2714423801609,0.0514541803560413,0.0867626699700249,0.398134588513009,0.223765697662833,0.0903097680876067,0.0224045306351259
"ID83G",0.0158186112058334,0.00535641666167841,0.0426603367379894,0.0191309451655692,0.0974060622224183,0.997367705863667,0.431306849893811,0.0723263146720032,0.00533351445120789,0.0406550887439282,0.0236246375554038
"ID83H",0.0122876945926662,0.0358552634591435,0.5518138914138,0.0366318055756356,0.481302227920065,0.107980437617927,0.136100332017607,0.993822401364877,0.0176561019421447,0.209802869205313,0.0556968228953552
"ID83I",0.00358328999555768,0.00927078762573663,0.0916515546107057,0.0451875782849416,0.605807479546435,0.0312839895970102,0.0739900158308696,0.196113289346268,0.0279770021433561,0.989290756592034,0.0202910572387478
"ID83J",0.00714994152843718,0.00871561422623224,0.057752191770069,0.990190572076727,0.216669421205761,0.0272374892409084,0.0446941019878455,0.0560466134621533,0.00525872348624223,0.042073169097822,0.0209702514227194
"ID83K",0.259219508329487,0.104665053147142,0.0449398064618839,0.0140543544667554,0.0557303059391294,0.0256768173598698,0.0324991565916395,0.0306631376223057,0.0332581412066962,0.0282349130626971,0.977821179285461
